Autauga;1.581.893
Baldwin;5.625.966
Barbour;739.860
Bibb;355.874
Blount;829.566
Bullock;219.410
Butler;571.598
Calhoun;3.861.691
Chambers;822.829
Cherokee;489.001
Chilton;831.313
Choctaw;507.360
Clarke;767.215
Clay;344.573
Cleburne;301.107
Coffee;1.316.062
Colbert;2.398.084
Conecuh;469.117
Coosa;171.965
Covington;1.140.024
Crenshaw;391.300
Cullman;2.569.181
Dale;2.636.685
Dallas;1.154.622
DeKalb;1.749.727
Elmore;1.651.053
Escambia;1.186.467
Etowah;2.851.486
Fayette;345.019
Franklin;855.153
Geneva;525.195
Greene;239.982
Hale;302.538
Henry;367.441
Houston;4.685.076
Jackson;1.392.203
Jefferson;39.588.975
Lamar;304.907
Lauderdale;2.356.867
Lawrence;468.265
Lee;5.086.943
Limestone;3.136.604
Lowndes;412.401
Macon;473.901
Madison;20.798.731
Marengo;668.598
Marion;795.132
Marshall;2.938.723
Mobile;17.945.500
Monroe;643.043
Montgomery;12.365.592
Morgan;5.002.054
Perry;211.610
Pickens;407.668
Pike;1.284.263
Randolph;472.302
Russell;1.296.638
St. Clair;1.697.634
Shelby;9.550.774
Sumter;332.843
Talladega;2.947.393
Tallapoosa;1.238.043
Tuscaloosa;9.116.249
Walker;1.886.422
Washington;784.661
Wilcox;400.814
Winston;623.224
Aleutians East Borough;213.658
Aleutians West Census Area;396.558
Anchorage Municipality;21.029.302
Bethel Census Area;658.407
Bristol Bay Borough;116.522
Denali Borough;236.441
Dillingham Census Area;241.930
Fairbanks North Star Borough;5.289.322
Haines Borough;91.090
Hoonah-Angoon Census Area;84.663
Juneau City and Borough;2.263.204
Kenai Peninsula Borough;2.836.250
Ketchikan Gateway Borough;818.800
Kodiak Island Borough;693.108
Kusilvak Census Area;147.718
Lake and Peninsula Borough;76.814
Matanuska-Susitna Borough;2.282.237
Nome Census Area;381.831
North Slope Borough;10.976.662
Northwest Arctic Borough;589.454
Petersburg Borough;185.511
Prince of Wales-Hyder Census Area;236.482
Sitka City and Borough;430.259
Skagway Municipality;104.396
Southeast Fairbanks Census Area;594.253
Valdez-Cordova Census Area;1.885.200
Wrangell City and Borough;99.912
Yakutat City and Borough;27.328
Yukon-Koyukuk Census Area;257.293
Apache;2.515.397
Cochise;4.436.734
Coconino;6.624.985
Gila;1.745.804
Graham;855.317
Greenlee;1.465.424
La Paz;637.168
Maricopa;205.678.159
Mohave;4.908.489
Navajo;2.730.892
Pima;37.819.839
Pinal;6.980.799
Santa Cruz;1.614.751
Yavapai;6.021.726
Yuma;7.133.568
Arkansas;1.029.137
Ashley;799.583
Baxter;1.166.272
